date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:07:03	34027/34027	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202020%2000:23:34%20GMT	http://my-iddah.com/you-dont-need-a-man/	C:/My%20Web%20Sites/my-iddah/my-iddah.com/you-dont-need-a-man/index.html	(from http://my-iddah.com/widow/)
02:07:04	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:23:34%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/Youdontneedaman.png	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/Youdontneedaman.png	(from http://my-iddah.com/widow/)
02:07:06	16514/16514	---M--	200	added ('OK')	image/png	etag:%224082-554ab07dfa7f1%22	http://www.sisters-magazine.com/wp-content/themes/sisters.git/images/Footer/products/ipray_now.png	C:/My%20Web%20Sites/my-iddah/www.sisters-magazine.com/wp-content/themes/sisters.git/images/Footer/products/ipray_now.png	(from http://my-iddah.com/widow/)
02:07:07	5056/5056	---M--	200	added ('OK')	image/png	etag:%2213c0-554ab07dfa7f1%22	http://www.sisters-magazine.com/wp-content/themes/sisters.git/images/Footer/products/dua_card.png	C:/My%20Web%20Sites/my-iddah/www.sisters-magazine.com/wp-content/themes/sisters.git/images/Footer/products/dua_card.png	(from http://my-iddah.com/widow/)
02:07:09	5510/5510	---M--	200	added ('OK')	image/png	etag:%221586-554aaf133f1f0%22	http://my-iddah.com/wp-content/themes/my-iddah-new-version/images/footer/products/sisters_x4.png	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/themes/my-iddah-new-version/images/footer/products/sisters_x4.png	(from http://my-iddah.com/widow/)
02:07:10	4821/4821	---M--	200	added ('OK')	image/png	etag:%2212d5-554aaf133f1f0%22	http://my-iddah.com/wp-content/themes/my-iddah-new-version/images/footer/products/discover_x4.png	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/themes/my-iddah-new-version/images/footer/products/discover_x4.png	(from http://my-iddah.com/widow/)
02:07:10	9573/9573	---M--	200	added ('OK')	image/png	etag:%222565-554aaf133f1f0%22	http://my-iddah.com/wp-content/themes/my-iddah-new-version/images/footer/products/awakening_x4.png	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/themes/my-iddah-new-version/images/footer/products/awakening_x4.png	(from http://my-iddah.com/widow/)
02:07:11	8001/8001	---M--	200	added ('OK')	image/png	etag:%221f41-554aaf133f1f0%22	http://my-iddah.com/wp-content/themes/my-iddah-new-version/images/footer/products/my_iddah_x4.png	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/themes/my-iddah-new-version/images/footer/products/my_iddah_x4.png	(from http://my-iddah.com/widow/)
02:07:11	6252/6252	---M--	200	added ('OK')	image/png	etag:%22186c-554aaf133f1f0%22	http://my-iddah.com/wp-content/themes/my-iddah-new-version/images/footer/products/her-hajj_x4.png	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/themes/my-iddah-new-version/images/footer/products/her-hajj_x4.png	(from http://my-iddah.com/widow/)
02:07:12	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:23:42%20GMT	http://my-iddah.com/widow/index.html	C:/My%20Web%20Sites/my-iddah/my-iddah.com/widow/index-2.html	(from http://my-iddah.com/widow/)
02:07:14	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:23:43%20GMT	http://my-iddah.com/widow/myStory.html	C:/My%20Web%20Sites/my-iddah/my-iddah.com/widow/myStory.html	(from http://my-iddah.com/widow/)
